Global_ID,MTR,ENTRY,Rep,block,Location,Check,Plot,End Plot,Expt,Pedigree,Name,Rng,Pas,Year,PLOTWT,MOIST,SDWT,FLWR,HT,LDG,DS,CBB,P_FT,CWT_A,ADJ_SDWT
20021007,96,23,1,2,SVREC,0,1007,FALSE,2002,B15414/B16504,B19309,2,22,2020,1853.6,14.13,19.2,46,52,1,6,1,15,37.31839558,20.10614634
20011007,96,23,1,2,SVREC,0,1007,FALSE,2001,N15331/N16404,N19240,2,34,2020,1734,14.2,19.6,44,47,1,5,2,15,34.88203883,20.50829268
20051007,96,16,1,2,SVREC,0,1007,FALSE,2005,X15405/G13444,G19619,2,48,2020,1604.6,16.45,38.1,42,49,2,5,4,15,31.43248539,38.82018293
20071007,96,12,1,3,SVREC,3,1007,FALSE,2007,"S02754/S04503, ROSETTA",S08418,3,54,2020,2055.5,12.91,34.2,44,44,2,4,2,15,41.97118701,36.32290244
20111007,96,20,1,2,SVREC,0,1007,FALSE,2011,ND121315,I16707,2,61,2020,1912.6,12.82,37.4,41,38,3,3,4,15,39.09367484,39.76258537
20121007,96,23,1,2,SVREC,1,1007,FALSE,2012,MATTERHORN,G93414,2,72,2020,1442.1,12.47,34.7,41,43,3,3,5,15,29.59496192,37.04013415
20061007,92,15,1,2,SVREC,4,1007,FALSE,2006,"ND121448, ND FALCON",I16705,2,80,2020,1488.12,14.97,33,45,59,1,6,2,15,29.66713534,34.21939024
20031007,95,30,,2,SVREC,0,1007,FALSE,2003,N14229/B16504,N20334,1,88,2020,831.1,12.75,17.5,54,50,3,4,2,16,15.93879462,18.62042683
20041007,95,55,,1,SVREC,0,1007,FALSE,2004,B16504/B16501,B20559,1,98,2020,913.6,14.01,14.9,54,50,3,4,3,16,17.26795056,15.6250122
20091007,94,33,,1,SVREC,0,1007,FALSE,2009,R17605/R16503,R20633,1,161,2020,1562.5,12.11,31.9,46,47,2,5,1,16,30.18535217,34.19135366
20131008,96,18,1,2,SVREC,5,1008,FALSE,2013,"ND9902621-2, ECLIPSE",I03390,2,4,2020,1184.6,11.65,19.7,43,53,1,6,3,15,24.53825992,21.22554878
20021008,96,18,1,2,SVREC,0,1008,FALSE,2002,"ND9902621-2, ECLIPSE",I03390,2,23,2020,1476.2,14.18,20.1,45,51,1,6,4,15,29.70292314,21.03636585
